UWI,Well Short Name,EASTING,NORTHING,MAP_DATUM,SURF_LAT,SURF_LONG,UTMZONE,Well Status,KB (m),GL (m),"Final Interpretation, Ice-bearing permafrost base, Base of fully frozen (mKB)",Final Interpretation Ice-bearing permafrost base Base of fully frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Formation,Final Interpretation Ice-bearing permafrost base Base of partially frozen (mKB),Final Interpretation Ice-bearing permafrost base Base of partially frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Final Interpretation Ice-bearing permafrost base Transition zone thickness (m),Final Interpretation Ice-bearing permafrost base Formation/ Sequence ,Final Interpretation Ice-bearing permafrost base PF present,Final Interpretation Ice-bearing permafrost base Data used for final pick*,Base of permafrost interpretations from different methods Temperature surveys PF (mKB),Base of permafrost interpretations from different methods Temperature surveys IBPF(mKB),Base of permafrost interpretations from different methods Temperature surveys Quality,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,"Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen, Quality",Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Quality,Comments
300F486930134000,Kilagmiotak F-48,531316,7705640,NAD83,69.458028,-134.200311,08W,Abandoned,26.5,19.8,689.6,682.9,b,Kugmallit,716,709,b,26,Kugmallit,Yes,GP,607,,c,689.6,682.9,"RT,DT,CAL,RHOB,WSS",b,716,709.3,"RT,DT,SP,RHOB,WSS",b,
300M166930134000,Kilagmiotak M-16,536158,7702705,NAD83,69.431096,-134.077817,08W,Abandoned,29.9,24.4,725,719.5,a,Mackenzie Bay,740,735,a,15,Mackenzie Bay,Yes,GP,,,,725,719.5,"RT,DT,CAL,WSS",a,740,734.5,"RT,CAL,WSS",a,
300A777050129000,Kilannak A-77,486764,7851842,NAD83,70.770512,-129.360074,09W,Abandoned,12.2,-25.3,78,41,c,Iperk,272,235,b,194,Iperk,Yes,WL,,,,78,40.5,"RT,GR",b,272,234.5,"RT,GR",b,
300I296930131150,Kiligvak I-29,408446,7709328,NAD83,69.477224,-131.340478,09W,Abandoned,17.4,13.7,128,124.3,c,Iperk,,,,,,Yes,"WSS, WH",,,,128,124.3,"WSS,GR",,,,,,
300D296940132150,Kimik D-29,602034,7727332,NAD83,69.634712,-132.372167,08W,Abandoned,18.6,10,564,555,c,Aklak,640,631,c,76,Aklak,Yes,WSS,672,,c,564,555.4,"WSS,GR",c,640,631.4,"WSS,GR",c,IBPF is 411m from well history report
300J546950137150,Kingark J-54,404372,7737570,NAD83,69.728823,-137.473724,08W,Gas,12,-59.4,101.3,30,c,Iperk,,,,,,Yes,BT,,,,<200,,Logs start at 200m,,,,,,
300O206850134450,Kipnik O-20,507742,7635776,NAD83,68.833209,-134.807878,08W,Abandoned,12.3,4,62,53.8,b,Iperk,76,68,b,14,Iperk,Yes,GP,,,,62,53.7,"DT,RT,WSS",b,76,67.7,"DT,RT,WSS",b,
300O227030134000,Koakoak O-22,533140,7806836,NAD83,70.365152,-134.11629,08W,Oil,12.8,-47.2,585,525,b,Iperk,640,580,b,55,Iperk,Yes,GP,,,,584.5,524.5,"RT,WSS,SP",b,640,580,"RT,WSS",b,
300N677010133000,Kogyuk N-67,563350,7779422,NAD83,70.113713,-133.331087,08W,Abandoned,28,-28,685,629,a,Iperk,728,672,a,43,Iperk,Yes,GP,,,,685,629,"RT,CAL,WSS,SP",a,728,672,"RT,WSS,SP",a,
302I447030135000,Kopanoar 2I-44,492270,7809982,NAD83,70.395409,-135.206434,08W,Gas and oil,11.9,-57.9,316.3,246.5,b,Iperk,407,337,b,91,Iperk,Yes,GP,,,,316.3,246.5,"RT,DT,CAL,WSS",b,407.2,337.4,"RT,DT,WSS",b,From Kopanoar I-44
302L347030135000,Kopanoar 2L-34,492428,7809920,NAD83,70.394854,-135.20221,08W,Abandoned,11.8,-56.4,322.4,254,b,Iperk,400,332,b,78,Iperk,Yes,GP,,,,322.4,254.2,"CAL,RT,SP",b,400,331.8,"CAL,RT,SP",b,From Kopanoar L-34
300I447030135000,Kopanoar I-44,492371,7809979,NAD83,70.395382,-135.203739,08W,Abandoned,11.9,-58.7,316.8,246.2,b,Iperk,408,337,b,91,Iperk,Yes,GP,,,,316.8,246.2,"RT,DT,CAL,WSS",b,408,337.4,"RT,DT,SP,CAL,WSS",b,
300L347030135000,Kopanoar L-34,492424,7809790,NAD83,70.393687,-135.202294,08W,Abandoned,12.1,-58.2,324,254,b,Iperk,402,332,b,78,Iperk,Yes,GP,,,,324,253.7,"RT,CAL,SP,WSS",b,402,331.7,"CAL,RT,WSS",b,
300M137030135000,Kopanoar M-13,496412,7808470,NAD83,70.381938,-135.095759,08W,Oil,11.9,-57.3,309,239.8,c,Iperk,,,,,,Yes,WSS,,,,309,239.8,"WSS,GR",c,,,,,
300N026840131300,Kugaluk N-02,396917,7604288,NAD83,68.531956,-131.524466,09W,Abandoned,215.8,213.4,104,101.6,a,Imperial,,,,,,Yes,TS,104,,a,<246,,Logs start at 246m,,,,,,
300H596940133150,Kugmallit H-59,559546,7726394,NAD83,69.639275,-133.466364,08W,Abandoned,11.5,-5.5,690,672.9,a,Kugmallit,,,,,,Yes,GP,,,,690,673,"RT,RHOB,CAL,SP,WSS",a,,,,,
300L246900135150,Kugpik L-24,485010,7642362,NAD83,68.891972,-135.372968,08W,Abandoned,12.2,2.9,80,70.7,b,Iperk,103,94,b,23,Iperk,Yes,GP,,,,80,70.7,"RT,SP",b,103,93.7,"RT,SP",b,
300L466900135150,Kugpik L-46,481693,7646411,NAD83,68.928085,-135.456256,08W,Suspended,13.4,4,75,65.7,c,Iperk,,,,,,Yes,"WSS, WH",,,,60~120,,WSS,c,,,,,drilling parameters log indicates IBPF is 75m
300O136900135150,Kugpik O-13,487662,7641062,NAD83,68.880445,-135.306826,08W,Oil,10.4,1.8,103,94.4,a,Iperk,,,,,,Yes,TS,103,,a,<171,,Logs start at 171m,,,,,,
300C586920135000,Kumak C-58,490746,7686150,NAD83,69.284915,-135.234426,08W,Abandoned,11,2.4,236,227.4,b,Iperk,268,259,b,32,Iperk,Yes,GP,,,,236,227.4,"RT,DT,RHOB,SP,WSS",b,268,259.4,"RT,DT,RHOB,SP,WSS",b,
300E586920135000,Kumak E-58,490077,7686880,NAD83,69.291443,-135.251455,08W,Gas,10.7,2.1,283,274.4,a,Iperk,,,,,,Yes,TS,283,,a,205,196.4,"RT,DT,CAL,SP,WSS",a,265,256.4,"RT,DT,CAL,SP,WSS",a,
300J066920135000,Kumak J-06,499257,7683345,NAD83,69.259921,-135.018808,08W,Gas and oil,17.7,9.1,238.8,230.2,b,Iperk,312,303,b,73,Richards,Yes,GP,,,,238.8,230.2,"CAL,RT,SP,WSS",b,312,303.4,"CAL,RT,SP,WSS",b,
300K166920135000,Kumak K-16,497276,7683250,NAD83,69.259058,-135.068919,08W,Gas and oil,11.4,2.9,240,231.5,a,Iperk,300,292,a,60,Iperk,Yes,GP,,,,240,231.5,"DT,RT,RHOB,WSS",a,300,291.5,"RT,SP",B,
300M156910135151,Kurk M-15,487011,7663408,NAD83,69.080819,-135.32596,08W,Suspended,10.8,1.4,75,66,c,Iperk,,,,,,Yes,WSS,,,,75,65.6,WSS,c,,,,,IBPF is 53m from well history report
300M396910135150,Kurk M-39,483406,7670979,NAD83,69.148515,-135.417729,08W,Abandoned,8.7,1.7,80,73,c,Iperk,,,,,,Yes,WSS,,,,80,73,WSS,c,,,,,IBPF is 70m from well history report
300E296920135300,Langley E-29,475617,7688825,NAD83,69.307963,-135.618328,08W,Abandoned,10.6,0.9,52,42.3,b,Iperk,71,61,b,19,Iperk,Yes,GP,,,,52,42.3,"RT,CAL,WSS",b,71,61.3,"RT,CAL,WSS",b,
300K306920135300,Langley K-30,475819,7690728,NAD83,69.325047,-135.613693,08W,Gas,7.7,2.4,64,58.7,b,Iperk,,,,,,Yes,WL,,,,64,58.7,"RT,SP",b,,,,,
300K457000131150,Louth K-45,406127,7757600,NAD83,69.908909,-131.449133,09W,Abandoned,8.5,1.5,563,556,b,Kugmallit,580,573,b,17,Kugmallit,Yes,GP,,,,563,556,"RT,WSS,SP",b,580,573,"RT,WSS,SP",b,
300A326940132000,Magak A-32,612104,7714885,NAD83,69.519157,-132.128275,08W,Abandoned,35.1,30.8,236,231.7,a,Aklak,370,366,a,134,Aklak,Yes,GP,,,,236,231.7,"RT,SP,CAL,WSS",a,370,365.7,"RT,SP,CAL,WSS",a,
302L386930134300,Mallik 2L-38,513264,7705832,NAD83,69.461253,-134.661242,08W,Gas,8.4,1.4,608,601,b,Mackenzie Bay,635,628,c,27,Mackenzie Bay,Yes,WL,,,,608,601,"DT,GR",b,635,628,"NPHI,GR",c,
305L386930134300,Mallik 5L-38,513178,7705794,NAD83,69.460918,-134.663437,08W,Suspended,5,1,604,600,b,Mackenzie Bay,633,629,b,29,Mackenzie Bay,Yes,WL,,,,604,600,"RT,CAL,SP",b,633,629,"RT,CAL,SP",b,
300A066930134300,Mallik A-06,519333,7700928,NAD83,69.416904,-134.507251,08W,Suspended,35.5,27.3,632.2,624,a,Mackenzie Bay,640,632,a,8,Mackenzie Bay,Yes,GP,258,,d,632.2,624,"RT,DT,WSS",a,640,631.8,"RT,DT,SP,WSS",a,
300J376930134300,Mallik J-37,514008,7703894,NAD83,69.443838,-134.642521,08W,Abandoned,10.2,0.7,602.4,592.9,a,Mackenzie Bay,651,641,a,48,Kugmallit,Yes,GP,,,,602.4,592.9,"RT,DT,SP,WSS",a,650.8,641.3,"RT,DT,SP,WSS",a,
300L386930134300,Mallik L-38,513322,7705934,NAD83,69.462168,-134.659742,08W,Gas,9.8,0.9,604,594.9,a,Mackenzie Bay,638,629,a,34,Mackenzie Bay,Yes,GP,,,,604.2,595.3,"RT,WSS",a,638,629.1,"RT,WSS",a,
300P596930134300,Mallik P-59,511138,7707936,NAD83,69.480221,-134.715297,08W,Abandoned,8.2,0.9,640,632.8,a,Mackenzie Bay,688,681,a,48,Mackenzie Bay,Yes,GP,,,,640,632.7,"RT,CAL,WSS,SP",a,688.2,680.9,"RT,CAL,WSS,SP",a,
300G126930132450,Mayogiak G-12,586019,7695452,NAD83,69.354723,-132.813537,08W,Abandoned,33.9,27.6,398,391.7,b,Aklak,520,514,b,122,Aklak,Yes,GP,,,,398,391.7,"RT,CAL,WSS,SP",b,520,513.7,"RT,CAL,WSS,SP",b,
300J176930132450,Mayogiak J-17,585948,7705521,NAD83,69.444975,-132.806179,08W,Oil,22.5,17.6,411,406,c,Iperk,447,442,c,36,Aklak,Yes,"WSS, WH",,,,411,406.1,WSS,c,447,442.1,WSS,c,IBPF is 277m from well history report
300L396930132450,Mayogiak L-39,581714,7709061,NAD83,69.47803,-132.911075,08W,Abandoned,14.2,4.9,544.2,534.8,a,Iperk,697,688,a,153,Aklak,Yes,GP,,,,544.2,534.9,"RT,RHOB,NPHI,CAL,WSS,SP",a,697.2,687.9,"RT,RHOB,NPHI,CAL,SP",a,
300M166930132450,Mayogiak M-16,585156,7704045,NAD83,69.432002,-132.82771,08W,Abandoned,18.9,8.2,411,400.3,b,Aklak,454,443,b,43,Aklak,Yes,WL,,,,411,400.3,"RT,SP",b,454,443.3,"RT,SP",b,
300N346930132450,Mayogiak N-34,582302,7700362,NAD83,69.399889,-132.903686,08W,Abandoned,31.2,27.6,456,452.4,b,Aklak,520,516,b,64,Aklak,Yes,WL,,,,456,452.4,"RT,SP",b,520,516.4,"RT,SP",b,
300I536950136150,Minuk I-53,443432,7734160,NAD83,69.709544,-136.461764,08W,Gas,15.2,-14.2,245,215.6,c,Iperk,,,,,,Yes,GP,,,,245,215.6,"WSS,RT,SP",c,,,,,
300M016840134300,Napartok M-01,518766,7600126,NAD83,68.512955,-134.540909,08W,Abandoned,15.8,5.1,58,47.3,b,Iperk,65,54,b,7,Iperk,Yes,GP,,,,58,47.3,"RT,WSS,SP",b,65,54.3,"RT,WSS,SP",b,
300F316830134450,Napoiak F-31,504139,7580792,NAD83,68.340149,-134.899505,08W,Abandoned,13.1,5.4,74.3,66.7,a,Quaternary,97,90,b,23,Arctic Red,Yes,GP,,,,74.3,66.6,"RT,DT,WSS",a,97.3,89.6,"RT,WSS,SP",b,
300H506950131300,Natagnak H-50,397158,7748518,NAD83,69.824181,-131.672464,09W,Abandoned,6.4,0.9,540,534.5,a,Iperk,,,,,,Yes,GP,,,,540,534.5,"RT,DT,CAL,SP,WSS",a,,,,,
300K236950131300,Natagnak K-23,398818,7735546,NAD83,69.70862,-131.614957,09W,Abandoned,26.8,22.9,518,514.1,a,Aklak,579,575,a,61,Aklak,Yes,GP,,,,518,514.1,"RT,DT,SP,WSS,CAL",a,538,534.1,"RT,WSS,SP",a,
300K536950131300,Natagnak K-53,394199,7735996,NAD83,69.71084,-131.734683,09W,Abandoned,20.1,13.4,559,552.3,a,Aklak,625,619,a,66,Aklak,Yes,GP,,,,559,552.3,"RT,DT,CAL,WSS",a,625.3,618.6,"RT,DT,CAL,WSS",a,
300O596950131300,Natagnak O-59,395096,7747660,NAD83,69.815679,-131.724994,09W,Abandoned,9.2,2.5,535,528.3,b,Iperk,585,578,b,50,Iperk,Yes,WL,,,,535,528.3,RT,b,585,578.3,RT,b,
300O447010137000,Natiak O-44,415486,7774757,NAD83,70.065847,-137.221519,08W,Suspended,11.5,-44.5,0,0,c,Iperk,,,,,,Probably No,GP,,,,No PF,,Logs and WSS,c,,,,,
300E566950139300,Natsek E-56,548437,7739135,NAD83,69.755765,-139.745651,07W,Abandoned,12.2,-33.7,0,0,c,Iperk,,,,,,Probably No,WSS,,,,0,,WSS,,,,,,
300K597030136000,Nektoralik K-59,452117,7819493,NAD83,70.476277,-136.283863,08W,Gas and oil,12.8,-64.3,0,0,c,Iperk,,,,,,Probably No,WSS,,,,0,,WSS,,,,,,
300J677030133000,Nerlerk J-67,562464,7816356,NAD83,70.444976,-133.327698,08W,Abandoned,20,-45,600,535,c,Iperk,,,,,,Yes,WSS,,,,~600,,WSS,,,,,,"well history report indicates that gas show occurs at 684 m, IBPF may be at 670m."
300M987030133000,Nerlerk M-98,556032,7818224,NAD83,70.463223,-133.498599,08W,Oil,12.8,-52.1,532,467.1,a,Iperk,688,623,a,156,Iperk,Yes,GP,,,,532,467.1,"RT,WSS,DT,RHOB,CAL",a,688.2,623.3,"RT,DT,RHOB,CAL",a,
300B446940135450,Netserk B-44,463523,7716054,NAD83,69.550744,-135.935541,08W,Gas and oil,13.4,-3.8,342.6,325.4,a,Iperk,378,361,a,35,Iperk,Yes,GP,,,,342.6,325.4,"RT,WSS,SP,CAL",a,378,360.8,"RT,WSS,SP,CAL",a,
300F406940135450,Netserk F-40,464744,7727808,NAD83,69.656306,-135.908704,08W,Gas,12.7,-7.6,518,497.6,b,Iperk,556,535,b,38,Iperk,Yes,GP,,,,518,497.7,"RT,CAL,RHOB,SP,WSS",b,555.6,535.3,"RT,SP,WSS",b,
300G567000128450,Nicholson G-56,500810,7757481,NAD83,69.924745,-128.978847,09W,Abandoned,73.5,71.3,194,191.8,b,Recent,280,278,b,86,Mason River,Yes,"WL, WH",,,,194,191.8,"RT,SP",b,280,277.8,"RT,SP",b,consider lithology from well history report
300N457000128450,Nicholson N-45,502251,7756559,NAD83,69.916468,-128.941262,09W,Abandoned,16.8,14.6,94,91.8,c,Recent,198,196,b,104,Mason River,Yes,"WL, WH",,,,94,91.8,"RT,SP",c,198,195.8,"RT,SP",b,consider lithology from well history report
300B196920135150,Niglintgak B-19,487850,7688176,NAD83,69.302971,-135.308043,08W,Gas and oil,10.7,2.1,177,168.4,a,Iperk,,,,,,Yes,TS,181,177±15,a,181,172.4,"RT,SP",b,,,,,
300H306920135150,Niglintgak H-30,486369,7690358,NAD83,69.322471,-135.34591,08W,Gas,10.1,1.8,152,143.7,a,Iperk,,,,,,Yes,TS,152,,a,165,156.7,"RT,DT",b,,,,,
300M196920135150,Niglintgak M-19,487122,7689357,NAD83,69.313526,-135.326657,08W,Gas and oil,10.1,1.5,163.5,154.9,b,Iperk,186,177,b,23,Iperk,Yes,GP,148,,d,163.5,154.9,"RT,SP,DT,WSS",b,186,177.4,"RT,SP,DT,WSS,CAL",b,
300L196950135150,Nipterk L-19,487119,7744782,NAD83,69.81055,-135.334418,08W,Gas and oil,15.5,-11,501.2,474.7,a,Iperk,520,494,b,19,Iperk,Yes,GP,,,,501,474.5,"RT,WSS,SP,CAL",a,520,493.5,"RT,WSS",b,
300L196950135151,Nipterk L-19A,488403,7744772,NAD83,69.810523,-135.301082,08W,Gas and oil,15.2,-11,501.2,475,a,Iperk,520,494,b,19,Iperk,Yes,GP,,,,501,474.8,"RT,DT,SP,CAL",a,520,493.8,"RT,DT,SP,CAL",b,From Nipterk L-19
300P326950135150,Nipterk P-32,485232,7732051,NAD83,69.696293,-135.381336,08W,Gas and oil,11.3,-6.9,482,464,c,Iperk,,,,,,Yes,"BT, WH",,,,<500,,Logs start at 500m,,,,,,consider drilling log from well history report
300J236920135450,North Ellice J-23,466066,7677942,NAD83,69.209341,-135.856644,08W,Abandoned,10.9,0.9,62,52,a,Iperk,,,,,,Yes,TS,84,62±8,a,<158,,Logs start at 158m,,,,,,
300L396920135450,North Ellice L-39,463752,7689416,NAD83,69.311928,-135.919393,08W,Abandoned,13.9,-1.8,95.7,80,c,Iperk,,,,,,Yes,BT,,,,<229,,Logs start at 229m,,,,,,
300L867010134000,North Issungnak L-86,520946,7776267,NAD83,70.092357,-134.448829,08W,Abandoned,12.2,-26.2,686,647.6,a,Iperk,,,,,,Yes,GP,,,,686,647.6,"DT,RT,CAL,WSS",a,,,,,
300C226950134450,Nuktak C-22,505379,7730777,NAD83,69.685223,-134.861177,08W,Abandoned,47.7,38.1,702.2,692.6,a,Mackenzie Bay,780,770,b,78,Mackenzie Bay,Yes,GP,,,,702.2,692.6,"RT,WSS,SP,CAL",a,780,770.4,"RT,DT,SP",b,
300A106910133150,Nuna A-10,569349,7672083,NAD83,69.150068,-133.253918,08W,Abandoned,54.2,43.8,325,314.6,b,Aklak,,,,,,Yes,GP,,,,325,314.6,"RT,SP,WSS",b,,,,,
300A326910133150,Nuna A-32,564771,7657504,NAD83,69.020503,-133.37882,08W,Abandoned,43.6,36.6,351,344,b,Aklak,398,391,b,47,Aklak,Yes,GP,,,,351,344,"RT,WSS,SP",b,398.2,391.2,"RT,RHOB,SP,CAL",b,
300E406910133150,Nuna E-40,562942,7672386,NAD83,69.154345,-133.414954,08W,Abandoned,32.7,27.8,459,454.1,a,Iperk,472,467,a,13,Aklak,Yes,GP,,,,459,454.1,"RT,WSS",a,472,467.1,"RT,DT,CAL,WSS",a,
300I306910133150,Nuna I-30,565959,7673046,NAD83,69.15954,-133.338561,08W,Suspended,41.6,32.4,331.5,322.3,b,Taglu,,,,,,Yes,WL,,,,331.5,322.3,"RT,CAL,SP",b,,,,,
300O097000130300,Nuvorak O-09,442000,7764587,NAD83,69.981991,-130.518286,09W,Abandoned,11,6.1,180,175.1,b,Iperk,390,385,b,210,Aklak,Yes,GP,,,,180,175.1,"RT,WSS,SP,DT",b,390,385.1,"RT,SP,WSS,CAL,DT",b,
300J066850133450,Ogeoqeoq J-06,549750,7628277,NAD83,68.761594,-133.769317,08W,Abandoned,84.4,75.9,178,169.5,b,Aklak,,,,,,Yes,GP,,,,178,169.5,"RT,DT,SP",b,,,,,
300M316900134150,Ogruknang M-31,523490,7637494,NAD83,68.847717,-134.416698,08W,Abandoned,108.2,102.9,543,537.7,b,Iperk,591,586,b,48,Iperk,Yes,GP,,,,543,537.7,"RT,CAL,SP",b,591,585.7,"RT,CAL,SP",b,
300H016920136000,Olivier H-01,460051,7673845,NAD83,69.17178,-136.00678,08W,Gas,10.7,0.9,67,57.3,c,Iperk,,,,,,Yes,WSS,,,,67,57.2,WSS,,,,,c,IBPF is 52m from well history report
300C386850133300,Onigat C-38 (E. Reindeer C-38),554238,7631098,NAD83,68.786043,-133.656816,08W,Abandoned,71.6,66.1,170,164.5,c,Iperk,,,,,,Yes,BT,,,,<490,,Logs start at 490m,,,,,,
300D526850133300,Onigat D-52,551008,7619591,NAD83,68.68348,-133.742599,08W,Abandoned,131.8,126.9,80,75.1,c,Quaternary,155,150,c,75,Quaternary,Yes,WSS,,,,80,75.1,WSS,c,155,150.1,WSS,c,
300K496850133300,Onigat K-49,552476,7633855,NAD83,68.811099,-133.69899,08W,Abandoned,61.6,56.8,178,173,c,Iperk,,,,,,Yes,"WSS, WH",,,,178,173.2,"WSS,GR",,,,,,consider lithology from well history report
300O037030136300,Orvilruk O-03,443130,7808950,NAD83,70.379907,-136.517655,08W,Gas,12.8,-59.9,93,20.3,c,Iperk,,,,,,Yes,BT,,,,<100,,Logs start at 100m,,,,,,
300C606940136150,Paktoa C-60,442200,7727812,NAD83,69.652374,-136.489584,08W,Oil,39.1,-13.2,228,176,c,Iperk,240,188,c,12,Iperk,Yes,GP,,,,228,175.7,"RT,CAL,SP",c,240,187.7,"RT,SP",c,
300A446900133300,Parsons A-44,553092,7642072,NAD83,68.884656,-133.679344,08W,Gas,63.1,53.3,225,215.2,b,Aklak,352,342,b,127,Aklak,Yes,GP,,,,225,215.2,"RT,CAL,SP",b,352,342.2,"RT,CAL,SP",c,
300D206900133300,Parsons D-20,556974,7653446,NAD83,68.985858,-133.576261,08W,Gas,70.4,62,358,349.6,a,Aklak,,,,,,Yes,TS,370,358±8,a,358,349.6,CAL,c,,,,,
300E026900133300,Parsons E-02 (F-02),558819,7638816,NAD83,68.854299,-133.538859,08W,Abandoned,42.1,37.2,230,225,c,Aklak,,,,,,Yes,"BT, WH",,,,<480,,Logs start at 480m,,,,,,consider drilling log from well history report
300F096900133300,Parsons F-09,558774,7652212,NAD83,68.974414,-133.532034,08W,Gas,63.1,57.6,380,375,c,Aklak,,,,,,Yes,WSS,,,,~380,,WSS,c,,,,,IBPF is 163m from well history report
300L376900133300,Parsons L-37,553406,7648823,NAD83,68.94513,-133.667889,08W,Gas,46.6,38.1,321,312.5,c,Aklak,,,,,,Yes,TS,308,321±8,c,<1016,,Logs starts from 1016m,,,,,,IBPF is 238m from well history report
300L436900133300,Parsons L-43,552214,7641238,NAD83,68.87735,-133.70162,08W,Gas,57.9,49.1,268,259.2,a,Aklak,,,,,,Yes,TS,302,268±15,a,247,238.2,"RT,DT,CAL,SP",b,,,,,
300N106900133300,Parsons N-10,558665,7654701,NAD83,68.996749,-133.533263,08W,Gas,67.7,61.6,347,341,a,Aklak,,,,,,Yes,TS,360,347±15,a,331.6,325.5,"RT,CAL,SP,WSS",a,351,344.9,"RT,CAL,SP,WSS",a,
300N176900133300,Parsons N-17,557359,7649232,NAD83,68.947995,-133.569084,08W,Gas,53.6,45.7,328,320.1,a,Aklak,,,,,,Yes,TS,361,328±15,a,<996,,Logs start at 996m,,,,,,
300O276900133300,Parsons O-27,556057,7649202,NAD83,68.947994,-133.601584,08W,Gas,42.1,36.6,336.3,330.9,b,Aklak,355,350,b,19,Aklak,Yes,GP,,,,336.3,330.8,"RT,DT,SP,WSS",b,355,349.5,"RT,DT,SP",b,
300P416900133300,Parsons P-41,553268,7637918,NAD83,68.847378,-133.677193,08W,Gas,71.3,66.1,250,244.8,c,Aklak,,,,,,Yes,BT,,,,<308,,Logs start at 380m,,,,,,IBPF is 335m from well history report
300P536900133300,Parsons P-53,551524,7641552,NAD83,68.880294,-133.718594,08W,Gas,51.2,45.7,296,290.5,b,Aklak,308,302,b,12,Aklak,Yes,GP,,,,296,290.5,"RT,DT,SP,CAL",b,307.7,302.2,"RT,SP,CAL",b,
300B356940135150,Pelly B-35,484661,7717932,NAD83,69.569648,-135.393751,08W,Gas,8.2,-3.7,411.4,399.5,a,Iperk,451,439,a,40,Iperk,Yes,GP,,,,411.4,399.5,"RT,DT,CAL,RHOB,SP",a,451,439.1,"RT,DT,CAL,RHOB",a,
300E546930132300,Pikiolik E-54,588549,7699199,NAD83,69.387475,-132.745789,08W,Abandoned,24.4,17.6,424,417.3,a,Aklak,581,574,a,157,Aklak,Yes,GP,439,,b,424,417.2,"RT,DT,WSS",a,581.4,574.6,"RT,DT,WSS",a,
300G216930132300,Pikiolik G-21,594554,7694108,NAD83,69.33981,-132.598173,08W,Abandoned,74.8,67.6,230,222.8,b,Aklak,400,393,b,170,Aklak,Yes,WL,,,,230,222.8,"RT,CAL",b,400,392.8,"RT,CAL",b,
300M266930132300,Pikiolik M-26,593036,7704329,NAD83,69.431922,-132.626618,08W,Suspended,24,17.4,369,362.3,a,Aklak,544,537,b,175,Aklak,Yes,TS,369,,b,340,333.4,"RT,DT,WSS",a,544,537.4,"RT,DT,WSS",b,
300A057000136450,Pitsiulak A-05,432422,7756127,NAD83,69.903851,-136.76249,08W,Oil,20,-29,115,66,c,Iperk,,,,,,Yes,"GP, WH",,,,300,251,"RT,WSS",c,,,,,
300E176950134150,Pullen E-17,525820,7740485,NAD83,69.77107,-134.330895,08W,Abandoned,12.8,-1.8,603,588.2,a,Iperk,,,,,,Yes,GP,,,,602.8,588.2,"RT,CAL,RHOB,WSS",a,,,,,
300P216920133300,Red Fox P-21,556071,7675076,NAD83,69.179965,-133.586365,08W,Abandoned,31.7,23.5,610,601.8,a,Iperk,,,,,,Yes,GP,583,,d,610,601.8,"RT,DT,CAL,SP",a,,,,,
300A416910134300,Reindeer A-41,513011,7654759,NAD83,69.003245,-134.674636,08W,Abandoned,29,19.8,335,325.8,b,Taglu,360,351,b,25,Taglu,Yes,GP,,,,335,325.8,"RT,SP,CAL",b,360,350.8,"RT,SP,CAL",b,
300C366910134300,Reindeer C-36,513670,7663990,NAD83,69.085998,-134.656864,08W,Gas,15.8,10.4,343,338,a,Taglu,,,,,,Yes,TS,363,343±8,a,303.5,298.1,"RT,WSS",a,,,,,
300D276910134300,Reindeer D-27,515219,7665706,NAD83,69.101307,-134.617705,08W,Abandoned,32.3,27.4,343,338.1,a,Richards,,,,,,Yes,TS,375,343±15,a,<460,,Logs start at 460m,,,,,,from temperature survey
300L416930138450,Roland BayYt.L-41,580649,7693811,NAD83,69.341675,-138.951327,07W,Abandoned,20.1,12.5,106.6,99,c,Quaternary,,,,,,Yes,"WSS, WH",,,,107,99.4,WSS,,,,,,consider lithology from well history report
300H237010130000,Russell H-23,457690,7770540,NAD83,70.038389,-130.11052,09W,Gas,10.7,3.9,327,320.2,b,Aklak,455,448,b,128,Aklak,Yes,GP,,,,327,320.2,"RT,WSS,RHOB",b,455,448.2,"RT,WSS,RHOB",b,
300D026900126450,Sadene D-02,588975,7639287,NAD83,68.850441,-126.789893,09W,Abandoned,236.9,233,318,314.2,c,Landry,,,,,,Yes,TS,313,318±8,c,268,264.1,"RT,CAL,RHOB,NPls",c,314,310.1,"RT,CAL,RHOB,NPls",c,
300B356930136150,Sarpik B-35,445470,7699789,NAD83,69.401837,-136.388934,08W,Abandoned,9.6,-4.3,37,23.1,c,Iperk,,,,,,Yes,"WSS, WH",,,,35,21.1,WSS,,,,,,consider lithology from well history report
300D506840133450,Shakgatlatachig D-50,542455,7615911,NAD83,68.651919,-133.954925,08W,Abandoned,151,147,92,88,c,Aklak,,,,,,Yes,"WSS, WH",,,,92,88,WSS,,,,,,
