UWI,Well Short Name,EASTING,NORTHING,MAP_DATUM,SURF_LAT,SURF_LONG,UTMZONE,Well Status,KB (m),GL (m),"Final Interpretation, Ice-bearing permafrost base, Base of fully frozen (mKB)",Final Interpretation Ice-bearing permafrost base Base of fully frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Formation,Final Interpretation Ice-bearing permafrost base Base of partially frozen (mKB),Final Interpretation Ice-bearing permafrost base Base of partially frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Final Interpretation Ice-bearing permafrost base Transition zone thickness (m),Final Interpretation Ice-bearing permafrost base Formation/ Sequence ,Final Interpretation Ice-bearing permafrost base PF present,Final Interpretation Ice-bearing permafrost base Data used for final pick*,Base of permafrost interpretations from different methods Temperature surveys PF (mKB),Base of permafrost interpretations from different methods Temperature surveys IBPF(mKB),Base of permafrost interpretations from different methods Temperature surveys Quality,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,"Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen, Quality",Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Quality,Comments
302F247010133300,Amauligak 2F-24,552029,7772560,NAD83,70.054733,-133.633279,08W,Abandoned,26.6,-32,551,492.4,b,Iperk,594,535,b,43,Iperk,Yes,WL,,,,551,492.4,"RT,SP,GR",b,594,535.4,"RT,SP,GR",b,
302F247010133301,Amauligak 2F-24A,552029,7772563,NAD83,70.054761,-133.633279,08W,Gas,26.6,-32,551,492.4,b,Iperk,594,535,b,43,Iperk,Yes,WL,,,,551,492.4,"RT,SP,GR",b,594,535.4,"RT,SP,GR",b,
302F247010133302,Amauligak 2F-24B,552033,7772570,NAD83,70.054816,-133.633168,08W,Gas and oil,26.6,-32,551,492.4,b,Iperk,594,535,b,43,Iperk,Yes,WL,,,,551,492.4,"RT,SP,GR",b,594,535.4,"RT,SP,GR",b,
300F247010133300,Amauligak F-24,552035,7772570,NAD83,70.054816,-133.633112,08W,Gas and oil,26.6,-32,551,492.4,b,Iperk,594,535,b,43,Iperk,Yes,WL,,,,551,492.4,"RT,SP,GR",b,594,535.4,"RT,SP,GR",b,
300I657010133300,Amauligak I-65,545350,7774979,NAD83,70.077674,-133.807432,08W,Gas and oil,22.9,-32,684,629.1,a,Iperk,,,,,,Yes,GP,,,,684,629.1,"RT,WSS",a,,,,,
300I657010133301,Amauligak I-65A,545350,7774979,NAD83,70.077674,-133.807432,08W,Gas and oil,22.9,-32,684,629.1,a,Iperk,,,,,,Yes,GP,,,,684,629.1,"RT,WSS",a,,,,,
300I657010133302,Amauligak I-65B,545350,7774979,NAD83,70.077674,-133.807432,08W,Gas and oil,22.9,-32,684,629.1,a,Iperk,,,,,,Yes,GP,,,,684,629.1,"RT,WSS",a,,,,,
300J447010133300,Amauligak J-44,548888,7772947,NAD83,70.058814,-133.715534,08W,Oil,19.5,-30.45,548,498,b,Iperk,,,,,,Yes,GP,,,,548,498.1,"RT,SP,WSS",b,,,,,
300O867010133300,Amauligak O-86,540780,7777007,NAD83,70.096618,-133.926636,08W,Gas and oil,20,-32,683,631.1,a,Iperk,700,648,a,17,Iperk,Yes,GP,,,,683,631,"RT,CAL,WSS",a,700,648,"RT,CAL,WSS",a,
300O097000133300,Amerk O-09,556628,7764589,NAD83,69.982315,-133.517618,08W,Gas,16.1,-26,688,645.9,a,Iperk,740,698,a,52,Iperk,Yes,GP,,,,688,645.9,"RT,SP,CAL,WSS",a,740,697.9,"RT,WSS, CAL",a,
300L037020129300,Angasak L-03,479217,7789645,NAD83,70.212324,-129.550074,09W,Abandoned,13,-5.5,162.8,144.2,b,Iperk,308,289,b,145,Iperk,Yes,WL,,,,162.8,144.3,"RT,SP",b,308,289.5,"RT,SP",b,
300E907020135000,Arluk E-90,483230,7801991,NAD83,70.323318,-135.446261,08W,Abandoned,12.8,-58,297,226.2,b,Iperk,,,,,,Yes,GP,,,,297,226.2,"RT,SP",b,,,,,
300K066950133450,Arnak K-06,547285,7739716,NAD83,69.761191,-133.775173,08W,Gas and oil,12.6,-7.8,619.2,598.8,b,Iperk,660,640,b,41,Iperk,Yes,GP,,,,619.2,598.8,"RT,WSS",b,660,639.6,"RT,WSS",b,
300L306950133450,Arnak L-30,543279,7747202,NAD83,69.828998,-133.875357,08W,Abandoned,14.9,-8.2,639,616,a,Iperk,662,639,a,23,Iperk,Yes,GP,,,,639,615.9,"RT,CAL,WSS",a,662,638.9,"RT,CAL,WSS",a,
300E416940132300,Atertak E-41,589651,7712632,NAD83,69.507478,-132.704941,08W,Suspended,19.8,12.3,528,520.5,a,Aklak,609,602,a,81,Aklak,Yes,GP,542,,b,528,520.5,"RT,DT,WSS,CAL",a,609,601.5,"RT,DT,WSS,CAL",a,
300K316940132300,Atertak L-31 (K-31),591601,7712936,NAD83,69.509535,-132.654772,08W,Abandoned,30.5,23.3,560,552.8,b,Aklak,630,623,b,70,Aklak,Yes,GP,,,,560,552.8,"RT,WSS,CAL,SP",b,630,622.8,"RT,WSS,CAL,SP",b,
300G046900133450,Atigi G-04 (E. Reindeer G-04),549430,7642333,NAD83,68.887681,-133.770264,08W,Suspended,52.1,46.6,321,315.5,b,Aklak,,,,,,Yes,GP,,,,321,315.5,"RT,DT,CAL",b,,,,,
300O486900133450,Atigi O-48,542544,7650634,NAD83,68.963261,-133.937983,08W,Abandoned,90.8,84.7,570,563.9,a,Richards,,,,,,Yes,TS,594,570±15,a,510~590,,"WSS,GR",c,,,,,
300A556950131450,Atkinson A-55,385324,7739202,NAD83,69.735838,-131.967737,09W,Abandoned,9,2.2,551,544.2,a,Aklak,566,559,a,15,Aklak,Yes,GP,,,,551,544.2,"RT,CAL,WSS",a,566,559.2,"RT,CAL,WSS",a,
300H256950131450,Atkinson H-25,390192,7739237,NAD83,69.738229,-131.841991,09W,Oil,8.5,4,466.2,461.7,a,Aklak,480,476,a,14,,Yes,GP,,,,466.2,461.7,"RT,DT,SP,CAL,WSS",a,480,475.5,"RT,DT,SP,CAL,WSS",,
300M336950131450,Atkinson M-33,387253,7736596,NAD83,69.713338,-131.914677,09W,Abandoned,12.8,7.6,489,483.8,b,Aklak,510,505,b,21,Aklak,Yes,GP,,,,489,483.8,"RT,DT,SP,CAL,WSS",b,510,504.8,"RT,DT,CAL,WSS",b,
300H136830135300,Beaverhouse Creek H-13,477237,7584340,NAD83,68.371085,-135.553399,08W,Abandoned,74.7,67.7,204,197,a,Mount Goodenough,,,,,,Yes,TS,204,,a,112,105,"RT,DT,SP",a,,,,,
300E476850137150,Blow River Yt. E-47,400768,7630928,NAD83,68.772047,-137.456292,08W,Abandoned,117,112.2,31,26,c,Albian Flysch,,,,,,Probably Yes,WH,,,,<238,,Logs start at 238m,,,,,,mainly from lithology of well history report
300K606830129150,Crossley Lake S. K-60,479968,7598050,NAD83,68.49425,-129.489659,09W,Abandoned,153.2,150.9,25,22.7,c,Hare Indian,,,,,,Probably Yes,"GP, WH",,,,25,23,"NEUT,GR",c,,,,,consider lithology from well history report
300N447000136000,East Tarsiut N-44,454107,7754732,NAD83,69.896061,-136.196414,08W,Oil,18,-22,460,420,a,Iperk,,,,,,Yes,GP,,,,460,420,"RT,DT,CAL,SP,WSS",a,,,,,
300N447000136001,East Tarsiut N-44A,454084,7754819,NAD83,69.896839,-136.197053,08W,Oil,18,-22,460,420,a,Iperk,,,,,,Yes,GP,,,,460,420,"RT,DT,CAL,SP,WSS",a,,,,,
300M566950140000,Edlok M-56 (N-56),529239,7739727,NAD83,69.763908,-140.242546,07W,Abandoned,12,-31.5,0,0,b,Quaternary,,,,,,No,GP,,,,No IBPF,,Logs and WSS,b,,,,,
300I486910135450,Ellice I-48,463071,7668692,NAD83,69.126002,-135.928711,08W,Gas,12.8,3.1,60,50.3,c,Iperk,,,,,,Yes,WSS,,,,60,50.3,WSS,c,,,,,IBPF is 52m from well history report
300O146910135450,Ellice O-14,467815,7661872,NAD83,69.065447,-135.807165,08W,Abandoned,5.2,1,35,30.8,c,Iperk,,,,,,Yes,WSS,,,,35,30.8,"WSS,GR",c,,,,,
300J076920132300,Eskimo J-07,597941,7687410,NAD83,69.278587,-132.519119,08W,Abandoned,27.1,21,155.6,149.5,a,Iperk,168,162,a,12,Iperk,Yes,GP,,,,155.6,149.5,"RT,DT,WSS",a,167.6,161.5,"RT,DT,WSS",a,
300B606840136000,Fish River B-60,450026,7615913,NAD83,68.65069,-136.230116,08W,Abandoned,187,177.7,92,83,c,Reindeer,,,,,,Yes,"WSS, WH",,,,92,82.7,WSS,c,,,,,consider lithology from well history report
300G076930135300,Garry G-07,479683,7703471,NAD83,69.439639,-135.518363,08W,Gas,17.4,8.8,371,362,a,Iperk,422,413,a,51,Iperk,Yes,GP,,,,371,362.4,"RT,SP,CAL,WSS",a,422,413.4,"RT,SP,CAL,WSS",a,
300P046930135300,Garry P-04,480042,7698599,NAD83,69.395971,-135.508184,08W,Gas and oil,8.5,1.3,393,386,b,Kugmallit,486,479,a,93,Kugmallit,Yes,GP,509,,d,393,385.8,"RT,DT,CAL,WSS",b,486,478.8,"RT,DT,CAL,WSS,SP",a,
300G076940134000,Hansen G-07,538005,7722204,NAD83,69.605679,-134.022766,08W,Gas and oil,15.9,8.2,568,560,b,Iperk,745,737,b,177,Kugmallit,Yes,GP,,,,568,560.3,"RT,CAL,WSS",b,745,737.3,"RT,CAL,WSS",b,
300B417030132000,Havik B-41,604332,7805776,NAD83,70.336442,-132.221068,08W,Oil,11.5,-35,641,595,a,Iperk,676,629,a,35,Iperk,Yes,GP,,,,641,594.5,"RT,CAL,SP,WSS",a,676,629.5,"RT,CAL,WSS",a,
300G027000127150,Horton River G-02,566548,7750805,NAD83,69.856412,-127.268307,09W,Abandoned,38.1,33.5,146,141.4,a,Quaternary,,,,,,Yes,TS,146,,a,<366,,Logs start at 366m,,,,,,
300J176920136150,Ikattok J-17,448415,7685892,NAD83,69.277833,-136.306398,08W,Abandoned,8.9,-7.6,106,90,c,Iperk,,,,,,Yes,WSS,,,,106,89.5,"WSS,GR",c,,,,,
300A016850134000,Ikhil A-01 (E. Reindeer A-01),540135,7617911,NAD83,68.670195,-134.011235,08W,Abandoned,190.5,184.4,177,171,b,Aklak,214,208,b,37,Aklak,Yes,GP,,,,177,170.9,"DT,RT,CAL,SP,WSS",b,214,207.9,"DT,RT,CAL,SP,WSS",b,
300I376850134000,Ikhil I-37,535018,7629635,NAD83,68.776026,-134.133221,08W,Abandoned,131.7,125,348,341.3,a,Iperk,,,,,,Yes,TS,354,348±8,a,351,344.3,"RT,CAL,DT,SP,WSS",a,,,,,
300J356850134000,Ikhil J-35,534565,7625961,NAD83,68.743136,-134.145677,08W,Gas,159.1,154,279,273.9,b,Aklak,,,,,,Yes,WL,,,,279,273.9,"RT,SP",b,,,,,
300K356850134000,Ikhil K-35,534099,7626206,NAD83,68.745386,-134.157122,08W,Gas,156.3,151.5,243,238,c,Aklak,,,,,,Yes,WSS,,,,243,238.2,"WSS,GR",c,,,,,
300N266850134000,Ikhil N-26,535852,7628445,NAD83,68.765248,-134.112994,08W,Abandoned,165.4,160.8,326,321.4,b,Aklak,380,375,b,54,Aklak,Yes,WL,,,,326,321.4,"RT,SP",b,380,375.4,"RT,SP",b,
300B486940135000,Immerk B-48,492864,7723386,NAD83,69.618906,-135.183591,08W,Abandoned,13.8,4.2,543,533.4,b,Kugmallit,580,570,b,37,Kugmallit,Yes,GP,,,,543,533.4,"RT,CAL,WSS,SP",b,580,570.4,"RT,CAL,RHOB,SP,WSS",b,
300A066950137000,Immiugak A-06,422437,7739310,NAD83,69.750366,-137.008291,08W,Abandoned,20,-32.6,310,257,c,Iperk,,,,,,Yes,"BT, WH",,,,<500,,Logs start at 500m,,,,,,IBPF is about 310m from lithology of well history report
300N056950137000,Immiugak N-05,421769,7739081,NAD83,69.748115,-137.025374,08W,Abandoned,20,-32,320,268,c,,,,,,,,WH,,,,,,No logs,,,,,,WH indicates significant overpressured gas occurred over 380 to 397 m
300J296910133000,Imnak J-29,575316,7671659,NAD83,69.14468,-133.104109,08W,Oil,18.3,9.9,400,391.6,b,Iperk,481,473,b,81,Aklak,Yes,GP,,,,400,391.6,"WSS,RT,SP",b,481,472.6,"RT, WSS",b,
300D546830133300,Inuvik D-54,551676,7586519,NAD83,68.38682,-133.742791,08W,Abandoned,42,36.5,25,20,c,Arctic Red,,,,,,Probably Yes,"WSS, WH",,,,<384,,Logs start at 384m,,,,,,also consider IBPF data of neighbor well
300B357040134000,Irkaluk B-35,530698,7829431,NAD83,70.568047,-134.173206,08W,Abandoned,11.9,-56.4,404,335.7,b,Iperk,480,412,c,76,Iperk,Yes,GP,,,,404,335.7,"RT,DT,CAL,WSS",b,480,411.7,"RT,DT,CAL,WSS",c,
300E277000134150,Isserk E-27,524021,7759178,NAD83,69.938853,-134.372544,08W,Gas,11.3,-12.8,634.8,610.7,a,Iperk,674,650,a,39,Iperk,Yes,GP,,,,634.8,610.7,"RT,CAL,WSS,SP",a,674,649.9,"RT,CAL,RHOB,WSS",a,
300I157000134150,Isserk I-15,526752,7756249,NAD83,69.912325,-134.30209,08W,Gas,26.6,-11.8,638,599.7,a,Iperk,690,652,a,52,Iperk,Yes,GP,,,,638,599.6,"RT,DT,SP,WSS",a,690.3,651.9,"RT,DT,WSS",a,
302O617010134000,Issungnak 2O-61,526075,7767877,NAD83,70.016662,-134.316334,08W,Gas,17,-19,637,601,c,Iperk,,,,,,Yes,BT,,,,<898,,Logs start at 898m,,,,,,
300O617010134000,Issungnak O-61,526080,7767890,NAD83,70.016774,-134.316196,08W,Gas,7.9,-19,627.1,600,c,Iperk,,,,,,Yes,BT,,,,<898,,Logs start at 898m,,,,,,
300F297000134000,Itiginkpak F-29,515914,7595500,NAD83,68.471643,-134.611404,08W,Abandoned,9.5,3.8,60,54,c,Arctic Red,100,94,c,40,Arctic Red,Yes,WSS,,,,60,54.3,"WSS,GR",c,100,94.3,"WSS,GR",c,
300I277000134000,Itiyok I-27,534769,7759930,NAD83,69.944387,-134.091531,08W,Gas and oil,15.1,-15,632,601.9,a,Iperk,717,687,a,85,Iperk,Yes,GP,,,,632,601.9,"RT,CAL,WSS,SP",a,717,686.9,"RT,WSS",a,
300B526940131450,Itkrilek B-52,383748,7715233,NAD83,69.520494,-131.978248,09W,Abandoned,10.4,6.3,340,335.9,b,Aklak,393,389,b,53,Aklak,Yes,GP,,,,340,335.9,"RT,WSS",b,393,388.9,"RT,WSS",b,
300C526940134150,Ivik C-52,520153,7712364,NAD83,69.519393,-134.483907,08W,Abandoned,21.3,13,631,622.7,a,Kugmallit,720,712,a,89,Kugmallit,Yes,GP,,,,631,622.7,"DT,RT,SP,CAL,WSS",a,720,711.7,"DT,RT,WSS,SP",a,
300J266940134150,Ivik J-26,525421,7720840,NAD83,69.59495,-134.34669,08W,Oil,30.3,23,648,640.7,a,Mackenzie Bay,712,705,a,64,Mackenzie Bay,Yes,GP,507,,c,648,640.7,"DT,RT,SP,CAL,WSS",a,712,704.7,"DT,RT,SP,CAL,WSS",a,
300K546940134150,Ivik K-54,520017,7716885,NAD83,69.559948,-134.486412,08W,Oil,42.2,32.9,660,650.7,a,Mackenzie Bay,775,766,a,115,Kugmallit,Yes,GP,,,,660,650.7,"RT,DT,WSS",a,775,765.7,"RT,DT,SP,WSS",a,
300N176940134150,Ivik N-17,526283,7722987,NAD83,69.614119,-134.323915,08W,Abandoned,35.3,28.3,672,665,a,Mackenzie Bay,737,730,a,65,Mackenzie Bay,Yes,GP,,,,672,665,"RT,DT,CAL,SP,WSS",a,736.8,729.8,"RT,DT,CAL,SP,WSS",a,
300O076950136000,Kadluk O-07,460496,7741671,NAD83,69.780003,-136.024157,08W,Gas,16.2,-13.6,482,452.2,b,Iperk,546,516,b,64,Iperk,Yes,GP,,,,482,452.2,"RT,WSS,SP",b,546.4,516.6,"RT,WSS,SP",b,
300A757040130300,Kaglulik A-75,430986,7830348,NAD83,70.568675,-130.858994,09W,Abandoned,13.4,-26.8,385,345,b,,,,,,,Yes,WL,,,,385,345,"RT,DT,CAL,SP",b,,,,,
300D486900133150,Kamik D-48,561676,7649944,NAD83,68.953443,-133.461002,08W,Oil,33.2,28,375,369.8,a,Aklak,,,,,,Yes,TS,375,,a,390,384.8,RT,b,,,,,
300D586900133150,Kamik D-58,560100,7649924,NAD83,68.953609,-133.500307,08W,Gas,44.8,39.3,327,322,c,Aklak,,,,,,Yes,GP,,,,385,379.5,"RT,CAL,SP",c,,,,,IBPF is 335m from well history report
300F386900133150,Kamik F-38,564065,7650324,NAD83,68.956305,-133.401168,08W,Abandoned,27.1,21.8,404,398.7,c,Aklak,,,,,,Yes,WL,,,,404,398.7,CAL,c,,,,,IBPF is 293m from well history report
300L606900133150,Kamik L-60,560292,7654499,NAD83,68.994583,-133.492734,08W,Abandoned,67.7,61,402,395.3,c,Aklak,,,,,,Yes,GP,,,,402,395.3,"GR,NPHI,WSS",c,,,,,
300F427000131000,Kanguk F-42,415777,7751467,NAD83,69.857246,-131.191889,09W,Abandoned,7.9,1.2,473,466.3,a,Aklak,,,,,,Yes,GP,,,,473,466.3,"RT,DT,CAL,WSS",a,,,,,
300I247000131000,Kanguk I-24,419856,7755478,NAD83,69.894473,-131.089393,09W,Abandoned,11.3,7.3,405,401,c,Aklak,,,,,,Yes,"WSS, WH",,,,405,401,"WSS,GR",c,,,,,IBPF is 402m from well history report
300G427010131000,Kannerk G-42,415434,7770015,NAD83,70.023339,-131.218343,09W,Abandoned,12.2,-8.5,601,580.2,a,Aklak,640,619,a,39,Aklak,Yes,GP,,,,601,580.3,"RT,RHOB,CAL,WSS",a,640,619.3,"RT,RHOB,CAL,WSS",a,
300J397000130000,Kapik J-39,456480,7763559,NAD83,69.975606,-130.138842,09W,Abandoned,13.4,6.4,470,463,b,Aklak,526,519,b,56,Aklak,Yes,GP,,,,470,463,"RT,SP,WSS",b,526,519,"RT,SP,WSS",b,IBPF is 472m from well history report
300I437000135150,Kaubvik I-43,483683,7752077,NAD83,69.875772,-135.424936,08W,Abandoned,13.4,-18,578,546.6,a,Iperk,,,,,,Yes,GP,,,,578,546.6,"RT,WSS",a,,,,,
300J947050133300,Kenalooak J-94,537666,7847478,NAD83,70.728893,-133.977409,08W,Gas,12.2,-67.7,318,238,b,Iperk,,,,,,Yes,GP,,,,318.4,238.5,"RT,SP,WSS",b,,,,,
300A437000135450,Kiggavik A-43,464497,7751584,NAD83,69.869456,-135.924343,08W,Gas,11.6,-18.4,430,400,c,Iperk,,,,,,Yes,GP,,,,430,400,"WSS, CAL",c,,,,,
300N466910134450,Kikoralok N-46,502182,7665070,NAD83,69.096022,-134.945203,08W,Abandoned,14.9,6.1,158.8,150,c,Iperk,,,,,,Yes,BT,,,,<160,,Logs start at 160m,,,,,,
