"  Natural Resources Canada, Geological Survey of Canada, Geoscience Data Repository, BASIN Database"											
"Date: August 20, 2026, 5:02 pm ADT"											
											
Well Name	Basin	Subbasin	Latitude (NAD27)	Longitude (NAD27)	Northing (NAD27)	Easting (NAD27)	Latitude (NAD83)	Longitude (NAD83)	Northing (NAD83)	Easting (NAD83)	Zone (UTM)
EAST AMUND M-05	SVERDRUP BASIN		78.413333	-95.073333	8705184	453519	78.414279	-95.074666	8705429	453496	21
EAST DRAKE I-55	SVERDRUP BASIN		76.411056	-107.815137	8482668	426189	76.411835	-107.817232	8482905	426141	21
EAST DRAKE L-06	SVERDRUP BASIN		76.426361	-107.553083	8484062	433129	76.427143	-107.55515	8484299	433082	21
EAST HECLA C-32	SVERDRUP BASIN		76.352611	-110.229502	8474516	520294	76.353357	-110.231858	8474746	520230	21
EAST HECLA F-62	SVERDRUP BASIN		76.354417	-110.410691	8474663	515520	76.355161	-110.413073	8474893	515456	21
EAST POINT E-47	MARITIMES BASIN		46.6042	-61.62497	5161882	605310	46.604264	-61.624242	5162108	605362	20
EAST POINT E-49	MARITIMES BASIN		46.63975	-61.62391	5165833	605322	46.639808	-61.623186	5166059	605374	20
EAST RANKIN H-21	JEANNE D'ARC BASIN		46.50742	-48.80276	5152555	668578	46.507339	-48.801689	5152767	668656	22
EAST STONEY CREEK 1	MARITIMES BASIN	MONCTON SUBBASIN	45.96486	-64.68727	5091309	369265	45.96	-64.69	5090992	369046	20
EAST WOLVERINE G-37	SCOTIAN BASIN	LAURENTIAN SUBBASIN	44.77293	-55.082894	4959297	651698	44.772946	-55.081947	4959518	651768	21
EGLINTON P-24	ARCTIC FOLD BELT		75.898056	-118.127496	8423953	469335	75.898711	-118.130584	8424177	469254	21
EGRET K-36	JEANNE D'ARC BASIN		46.42719	-48.83955	5143563	666000	46.427103	-48.838481	5143773	666077	22
EGRET N-46	JEANNE D'ARC BASIN		46.43226	-48.86315	5144077	664171	46.432175	-48.862083	5144288	664248	22
EIDER M-75	WHALE BASIN		45.58194	-51.94487	5047816	426285	45.581894	-51.943803	5048028	426371	22
EIDS M-66	ARCTIC FOLD BELT		77.432778	-86.43525	8594992	513718	77.43364	-86.434992	8595231	513723	16
ELDRIDGE BAY E-79	ARCTIC FOLD BELT		75.9725	-109.493998	8432487	540746	75.973236	-109.496232	8432717	540681	16
ELVE M-40	SVERDRUP BASIN		78.166389	-101.828616	8678364	435266	78.167452	-101.831695	8678625	435205	16
ELVE POINT STRAT A-41	SVERDRUP BASIN		78.168528	-101.837005	8678612	435086	78.169591	-101.840085	8678873	435024	16
ELVE POINT STRAT K-50	SVERDRUP BASIN		78.158778	-101.890586	8677585	433807	78.159841	-101.893677	8677846	433746	16
EMERALD K-33	SVERDRUP BASIN		76.711944	-113.722505	8516097	430167	76.712696	-113.725296	8516331	430103	16
EMERILLON C-56	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	45.25133	-54.38802	5013972	704968	45.251331	-54.387069	5014192	705036	21
EMMA N-03	SCOTIAN BASIN	SABLE SUBBASIN	44.046639	-60.014961	4881170	739146	44.046706	-60.014194	4881396	739200	20
EPHESUS F-94	ORPHAN BASIN		50.554772	-49.74215	5600852	589106	50.554772	-49.74215	5601071	589103	22
ERIE D-26	SCOTIAN BASIN	CANSO RIDGE	44.91765	-59.57495	4976811	296758	44.9177	-59.574189	4977032	296824	21
ESPERANTO K-78	SCOTIAN BASIN	ABENAKI SUBBASIN	44.79202	-58.18868	4960317	405973	44.792061	-58.187872	4960538	406039	21
EURYDICE P-36	SCOTIAN BASIN	ORPHEUS GRABEN	45.42981	-60.07972	5034630	728441	45.429878	-60.078947	5034857	728494	20
EVANGELINE H-98	SCOTIAN BASIN	SABLE SUBBASIN	43.29079	-60.98072	4794872	663817	43.290869	-60.979981	4795097	663872	20
FATIMA NO. 1	MARITIMES BASIN		47.416667	-61.890278	5251847	583711	47.416735	-61.889561	5252074	583763	20
FEDERATION K-87	JEANNE D'ARC BASIN		46.445267	-48.212086	5147080	714139	46.445267	-48.212086	5147299	714132	22
FIDDLEHEAD D-83	JEANNE D'ARC BASIN		46.368965	-48.470399	5137935	694570	46.368965	-48.470399	5138153	694564	22
FITZROYA A-12	FLEMISH PASS BASIN		48.016717	-46.778658	5319470	367361	48.016717	-46.778658	5319689	367365	23
FITZROYA A-12Z	FLEMISH PASS BASIN		48.016717	-46.778658	5319470	367361	48.016717	-46.778658	5319689	367365	23
FLYING FOAM I-13	JEANNE D'ARC BASIN		47.04499	-48.77527	5212347	668997	47.0449	-48.774189	5212558	669074	22
FORTUNE G-57	JEANNE D'ARC BASIN		46.60525	-48.13395	5165071	719494	46.605156	-48.132856	5165282	719572	22
FOSHEIM N-27	SVERDRUP BASIN		79.615056	-84.721917	8839385	545834	79.616056	-84.721399	8839629	545838	16
FOX I-22	SCOTIAN BASIN	CANSO RIDGE	45.35933	-59.55445	5025826	299927	45.359378	-59.553692	5026046	299993	21
FREDERICTON NO. 2	MARITIMES BASIN		45.93222	-66.65861	5088965	681524	45.932	-66.658	5089159	681567	19
FREYDIS B-87	HOPEDALE BASIN		53.93705	-54.71104	5978728	650260	53.937078	-54.709961	5978950	650325	21
GABRIEL C-60	FLEMISH PASS BASIN		47.31912	-46.89156	5242144	357049	47.319008	-46.890431	5242348	357139	23
GALE N-66	OUTER RIDGE COMPLEX		47.097389	-47.913056	5219886	278936	47.097389	-47.913056	5220105	278943	23
GAMBO N-70	JEANNE D'ARC BASIN		46.33137	-48.66523	5133297	679708	46.331281	-48.664158	5133508	679785	22
GAMMA-1	N/A		69.444556	-59.968169	7706577	383725	69.444556	-59.968169	7706754	383731	21
GANNET O-54	WHALE BASIN (BEAR RIDGE)		45.06515	-52.63603	4991272	371198	45.065158	-52.635019	4991489	371282	22
GARNIER O-21	ARCTIC STABLE PLATFORM		73.681139	-90.612556	8177802	574863	73.68189	-90.612519	8178046	574857	22
GASTONGUAY NO. 1	N/A		48.78936	-65.4	5406600	323720	48.789417	-65.399361	5406823	323773	20
GAUTREAU F-59	MARITIMES BASIN		45.97154	-64.64168	5091978	372812	45.972	-64.642	5092247	372793	20
GEMINI E-10	SVERDRUP BASIN		79.989444	-84.069444	8881709	556850	79.990451	-84.068848	8881952	556853	16
GILBERT F-53	SAGLEK BASIN		58.87411	-62.13973	6526144	549606	58.874256	-62.138733	6526370	549661	20
GJOA G-37	SAGLEK BASIN		62.9411	-59.10853	6980581	392992	62.941275	-59.106975	6980797	393076	21
GLACE BAY P-1	MARITIMES BASIN		46.232018	-59.859894	5123585	279476	46.232086	-59.859114	5123808	279543	21
GLACE BAY P-2	MARITIMES BASIN		46.210994	-59.860369	5121250	279355	46.211062	-59.859589	5121474	279423	21
GLACE BAY P-3	MARITIMES BASIN		46.211192	-59.796805	5121097	284259	46.211261	-59.796023	5121321	284326	21
GLACE BAY P-4	MARITIMES BASIN		46.210665	-59.841477	5121161	280811	46.210733	-59.840696	5121385	280879	21
GLACE BAY P-5	MARITIMES BASIN		46.384568	-60.281244	5140151	709059	46.384636	-60.280472	5140379	709112	20
GLACE BAY P-6	MARITIMES BASIN		46.361125	-60.301403	5137493	707598	46.361193	-60.300632	5137721	707651	20
GLENELG E-58	SCOTIAN BASIN	SABLE SUBBASIN	43.62161	-60.14772	4833585	730139	43.621683	-60.146964	4833811	730193	20
GLENELG E-58A	SCOTIAN BASIN	SABLE SUBBASIN	43.62161	-60.14772	4833585	730139	43.621683	-60.146964	4833811	730193	20
GLENELG H-38	SCOTIAN BASIN	SABLE SUBBASIN	43.62208	-60.08019	4833827	735586	43.622156	-60.079436	4834053	735640	20
GLENELG H-59	SCOTIAN BASIN	SABLE SUBBASIN	43.637681	-60.129764	4835420	731526	43.637752	-60.129006	4835646	731580	20
GLENELG J-48	SCOTIAN BASIN	SABLE SUBBASIN	43.62738	-60.1069	4834340	733410	43.627453	-60.106142	4834566	733464	20
GLENELG N-49	SCOTIAN BASIN	SABLE SUBBASIN	43.64983	-60.11722	4836805	732491	43.649906	-60.116464	4837031	732545	20
GLENWOOD H-69	JEANNE D'ARC BASIN		46.973728	-48.152526	5205962	716588	46.973633	-48.151426	5206173	716665	22
GLOOSCAP C-63	SCOTIAN BASIN	MOHICAN GRABEN	43.20273	-62.16576	4783451	567776	43.202806	-62.16505	4783675	567831	20
GOLCONDA C-64	OUTER RIDGE COMPLEX		46.88655	-47.66572	5195789	296907	46.886456	-47.664611	5195994	296997	23
GRAHAM C-52	SVERDRUP BASIN		77.353889	-90.856944	8587077	552366	77.354792	-90.85721	8587321	552354	23
GRAND BANKS COREHOLE #01	SCOTIAN BASIN?	BURIN PLATFORM?	45.1311	-53.4911	5000316	304106	45.1311	-53.4903	5000531	304175	22
GRAND BANKS COREHOLE #02	BEAR RIDGE?		45.1339	-52.6494	4998931	370301	45.1339	-52.6483	4999147	370392	22
GRAND BANKS COREHOLE #03A	BONAVISTA PLATFORM?		45.7086	-53.3094	5064048	320237	45.7086	-53.3086	5064264	320305	22
GRAND BANKS COREHOLE #03B	BONAVISTA PLATFORM?		45.7086	-53.3094	5064048	320237	45.7086	-53.3086	5064264	320305	22
GRAND BANKS COREHOLE #04	WHALE BASIN		45.5292	-52.3667	5042431	393276	45.5292	-52.3658	5042648	393350	22
GRAND BANKS COREHOLE #05A	BONAVISTA PLATFORM?		45.625	-52.1917	5052857	407100	45.625	-52.1906	5053073	407188	22
GRAND BANKS COREHOLE #05C	BONAVISTA PLATFORM?		45.625	-52.1917	5052857	407100	45.625	-52.1906	5053073	407188	22
GRAND BANKS COREHOLE #07	WHALE BASIN		45.4078	-51.9442	5028469	426110	45.4078	-51.9431	5028686	426198	22
GRAND BANKS COREHOLE #09	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.5953	-53.4381	4940670	306486	44.5953	-53.4369	4940884	306587	22
GRAND BANKS COREHOLE #10	BONAVISTA PLATFORM?		46.23	-52.18	5120061	409007	46.23	-52.18	5120279	409009	22
GRAND BANKS COREHOLE #13	AVALON UPLIFT	SOUTH BANK HIGH	43.9597	-50.2472	4867456	560398	43.9597	-50.2461	4867673	560484	22
GRAND BANKS COREHOLE #15	HORSESHOE BASIN?		45.4631	-50.0889	5034583	571230	45.4631	-50.0878	5034802	571314	22
GRAND BANKS COREHOLE #16	JEANNE D'ARC BASIN?		46.25	-49.05	5123455	650315	46.25	-49.05	5123673	650310	22
GRAND BANKS COREHOLE #17	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.1517	-52.39	4889445	388839	44.1517	-52.39	4889661	388842	22
GRAND BANKS COREHOLE #18	HORSESHOE BASIN?		44.58	-51.72	4936331	442838	44.58	-51.72	4936548	442840	22
GRAND BANKS COREHOLE #20	WHALE BASIN?		45.4061	-51.2294	5027873	482047	45.4061	-51.2283	5028090	482134	22
GRAND BANKS COREHOLE #21	WHALE BASIN		45.6442	-51.2061	5054320	483939	45.6442	-51.2053	5054537	484002	22
GRAND BANKS COREHOLE #22	WHALE BASIN		45.7383	-51.2253	5064778	482472	45.7383	-51.2242	5064996	482558	22
GRAND BANKS COREHOLE #22A	WHALE BASIN		45.7383	-51.2253	5064778	482472	45.7383	-51.2242	5064996	482558	22
GRAND BANKS COREHOLE #22C	WHALE BASIN		45.7383	-51.2253	5064778	482472	45.7383	-51.2242	5064996	482558	22
GRAND BANKS COREHOLE #23	BONAVISTA PLATFORM?		45.63	-53.55	5055884	301231	45.63	-53.55	5056102	301237	22
GRAND BANKS COREHOLE #25	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.37	-53.45	4915672	304791	44.37	-53.45	4915889	304797	22
GRAND BANKS COREHOLE #27	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	43.93	-52.62	4865158	369961	43.93	-52.62	4865374	369965	22
GRAND FALLS H-09	WHALE BASIN		45.47194	-52.00083	5035649	421767	45.471906	-51.999767	5035861	421853	22
GRAND PRE G-08	SCOTIAN BASIN	LAHAVE PLATFORM	43.956806	-60.507861	4869879	699958	43.956889	-60.507111	4870106	700012	20
GRASSY I-34	SVERDRUP BASIN		76.395389	-113.189561	8480225	442518	76.396119	-113.192255	8480457	442453	20
GREAT BARASWAY F-66	ORPHAN BASIN		49.423677	-48.164552	5478203	705621	49.423681	-48.164544	5478422	705615	22
GREEN GABLES NO. 1	MARITIMES BASIN		46.47744	-63.36117	5146942	472274	46.477506	-63.360517	5147167	472325	20
GREEN GABLES NO. 2	MARITIMES BASIN		46.4775	-63.3611	5146948	472280	46.4775	-63.3606	5147166	472319	20
GREEN GABLES NO. 3	MARITIMES BASIN		46.474444	-63.357033	5146607	472591	46.47	-63.36	5146333	472361	20
GREEN ROAD G-41	MARITIMES BASIN	MONCTON SUBBASIN	45.83077	-65.10817	5077189	336259	45.831	-65.108	5077432	336277	20
GRENADIER A-26	SVERDRUP BASIN		77.418417	-99.636472	8593407	484523	77.419337	-99.638535	8593653	484474	20
GRO-3	N/A		70.46275	-54.087117	7819910	608688	70.46275	-54.087117	7820083	608683	21
GROS MORNE C-17	JEANNE D'ARC BASIN		46.603881	-48.040283	5165184	726673	46.603881	-48.040283	5165402	726666	22
GUDRID H-55	HOPEDALE BASIN		54.908339	-55.87529	6084955	572111	54.908386	-55.874575	6085177	572154	21
GULF NO. 1	MARITIMES BASIN		47.9289	-62.0903	5308579	567955	47.9289	-62.0894	5308799	568020	20
GULF NO. 2	MARITIMES BASIN		47.65	-63.1833	5277198	486234	47.65	-63.1825	5277416	486294	20
GULF NO. 2A	MARITIMES BASIN		47.65	-63.1833	5277198	486234	47.65	-63.1825	5277416	486294	20
GULF NO. 4	MARITIMES BASIN		48.25	-63.375	5343936	472161	48.25	-63.374	5344155	472236	20
GULL F-72	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.19033	-52.44231	4893808	384731	44.190344	-52.4412	4894024	384823	22
HALCYON O-16	SVERDRUP BASIN		80.264778	-84.111083	8912365	554516	80.265795	-84.110512	8912608	554519	16
HAMPDEN K-41	FLEMISH PASS BASIN		47.008656	-46.86407	5207594	358303	47.008656	-46.86407	5207812	358308	23
HARE BAY E-21	ST ANTHONY BASIN		51.17283	-51.07419	5668829	494813	51.172722	-51.073139	5669035	494887	22
HARP L-42A	FLEMISH PASS BASIN		47.528269	-47.372478	5266381	321415	47.528269	-47.372478	5266599	321421	23
HARPOON O-85	FLEMISH PASS BASIN		48.081112	-46.205244	5325799	410233	48.081112	-46.205244	5326018	410236	23
HASTINGS NO. 1	MARITIMES BASIN		45.84306	-64.08111	5076961	416048	45.843056	-64.080556	5077178	416094	20
HAZEN F-54	SVERDRUP BASIN		77.054556	-110.353892	8552805	516158	77.055364	-110.356427	8553039	516093	20
HEARNE F-85	ARCTIC STABLE PLATFORM		74.73775	-110.932755	8294193	501976	74.738399	-110.934985	8294420	501910	20
HEBRON D-94	JEANNE D'ARC BASIN		46.550287	-48.497134	5158016	691875	46.550197	-48.496053	5158227	691952	22
HEBRON I-13	JEANNE D'ARC BASIN		46.54276	-48.5293	5157102	689435	46.542675	-48.528217	5157314	689513	22
HEBRON L-93 1	JEANNE D'ARC BASIN		46.544014	-48.497989	5157317	691832	46.544014	-48.497989	5157535	691826	22
HEBRON L-93 10	JEANNE D'ARC BASIN		46.543953	-48.49795	5157310	691835	46.543953	-48.49795	5157529	691829	22
HEBRON L-93 11	JEANNE D'ARC BASIN		46.544186	-48.498158	5157336	691818	46.544186	-48.498158	5157554	691812	22
HEBRON L-93 12	JEANNE D'ARC BASIN		46.544053	-48.498114	5157321	691822	46.544053	-48.498114	5157539	691816	22
HEBRON L-93 13	JEANNE D'ARC BASIN		46.544011	-48.498089	5157317	691824	46.544011	-48.498089	5157535	691818	22
HEBRON L-93 14	JEANNE D'ARC BASIN		46.543997	-48.498047	5157315	691827	46.543997	-48.498047	5157533	691821	22
HEBRON L-93 15	JEANNE D'ARC BASIN		46.544031	-48.498103	5157319	691823	46.544031	-48.498103	5157537	691817	22
HEBRON L-93 16	JEANNE D'ARC BASIN		46.544142	-48.498064	5157331	691825	46.544142	-48.498064	5157549	691820	22
HEBRON L-93 17	JEANNE D'ARC BASIN		46.543969	-48.498064	5157312	691826	46.543969	-48.498064	5157530	691820	22
HEBRON L-93 18	JEANNE D'ARC BASIN		46.544072	-48.498128	5157323	691821	46.544072	-48.498128	5157541	691815	22
HEBRON L-93 19	JEANNE D'ARC BASIN		46.543928	-48.498042	5157307	691828	46.543928	-48.498042	5157526	691822	22
HEBRON L-93 2	JEANNE D'ARC BASIN		46.544014	-48.497989	5157317	691832	46.544014	-48.497989	5157535	691826	22
HEBRON L-93 20	JEANNE D'ARC BASIN		46.544119	-48.49805	5157329	691827	46.544119	-48.49805	5157547	691821	22
HEBRON L-93 21	JEANNE D'ARC BASIN		46.544017	-48.497986	5157317	691832	46.544017	-48.497986	5157536	691826	22
HEBRON L-93 22	JEANNE D'ARC BASIN		46.544091	-48.498068	5157326	691825	46.544091	-48.498068	5157544	691820	22
HEBRON L-93 23	JEANNE D'ARC BASIN		46.543949	-48.498054	5157310	691827	46.543949	-48.498054	5157528	691821	22
HEBRON L-93 24	JEANNE D'ARC BASIN		46.544157	-48.498178	5157333	691817	46.544157	-48.498178	5157551	691811	22
HEBRON L-93 25	JEANNE D'ARC BASIN		46.544124	-48.498123	5157329	691821	46.544124	-48.498123	5157547	691815	22
HEBRON L-93 26	JEANNE D'ARC BASIN		46.544194	-48.498131	5157337	691820	46.544194	-48.498131	5157555	691814	22
HEBRON L-93 27	JEANNE D'ARC BASIN		46.544116	-48.498153	5157328	691819	46.544116	-48.498153	5157546	691813	22
HEBRON L-93 27Z	JEANNE D'ARC BASIN						46.544114	-48.498153	5157546	691813	22
HEBRON L-93 28	JEANNE D'ARC BASIN		46.544041	-48.498073	5157320	691825	46.544041	-48.498073	5157538	691819	22
HEBRON L-93 29	JEANNE D'ARC BASIN		46.543987	-48.498006	5157314	691830	46.543987	-48.498006	5157532	691825	22
HEBRON L-93 29Y	JEANNE D'ARC BASIN		46.543987	-48.498006	5157314	691830	46.543987	-48.498006	5157532	691825	22
HEBRON L-93 29Z	JEANNE D'ARC BASIN		46.543987	-48.498006	5157314	691830	46.543987	-48.498006	5157532	691825	22
HEBRON L-93 3	JEANNE D'ARC BASIN		46.544017	-48.498061	5157317	691826	46.544017	-48.498061	5157536	691820	22
HEBRON L-93 30	JEANNE D'ARC BASIN		46.544047	-48.498042	5157321	691828	46.544047	-48.498042	5157539	691822	22
HEBRON L-93 30Z	JEANNE D'ARC BASIN		46.544047	-48.498042	5157321	691828	46.544047	-48.498042	5157539	691822	22
HEBRON L-93 31	JEANNE D'ARC BASIN		46.544136	-48.498164	5157330	691818	46.544136	-48.498164	5157548	691812	22
HEBRON L-93 31Z	JEANNE D'ARC BASIN		46.544136	-48.498166	5157330	691818	46.544136	-48.498166	5157548	691812	22
HEBRON L-93 32	JEANNE D'ARC BASIN		46.543964	-48.497994	5157312	691831	46.543964	-48.497994	5157530	691826	22
HEBRON L-93 33	JEANNE D'ARC BASIN		46.54407	-48.498055	5157323	691826	46.54407	-48.498055	5157541	691821	22
HEBRON L-93 33Y	JEANNE D'ARC BASIN						46.544069	-48.498056	5157541	691821	22
HEBRON L-93 33Z	JEANNE D'ARC BASIN		46.54407	-48.498055	5157323	691826	46.54407	-48.498055	5157541	691821	22
HEBRON L-93 34	JEANNE D'ARC BASIN		46.544178	-48.498189	5157335	691816	46.544178	-48.498189	5157553	691810	22
HEBRON L-93 35	JEANNE D'ARC BASIN		46.543958	-48.498022	5157311	691829	46.543958	-48.498022	5157529	691824	22
HEBRON L-93 36	JEANNE D'ARC BASIN		46.543975	-48.497961	5157313	691834	46.543975	-48.497961	5157531	691828	22
HEBRON L-93 37	JEANNE D'ARC BASIN		46.543944	-48.497981	5157309	691833	46.543944	-48.497981	5157528	691827	22
HEBRON L-93 38	JEANNE D'ARC BASIN		46.543936	-48.498008	5157308	691831	46.543936	-48.498008	5157527	691825	22
HEBRON L-93 39	JEANNE D'ARC BASIN		46.544144	-48.498136	5157331	691820	46.544144	-48.498136	5157549	691814	22
HEBRON L-93 4	JEANNE D'ARC BASIN		46.544061	-48.498083	5157322	691824	46.544061	-48.498083	5157540	691818	22
HEBRON L-93 40	JEANNE D'ARC BASIN		46.544172	-48.498117	5157334	691821	46.544172	-48.498117	5157553	691815	22
HEBRON L-93 41	JEANNE D'ARC BASIN		46.544203	-48.4981	5157338	691823	46.544203	-48.4981	5157556	691817	22
HEBRON L-93 42	JEANNE D'ARC BASIN		46.544111	-48.498081	5157328	691824	46.544111	-48.498081	5157546	691818	22
HEBRON L-93 43	JEANNE D'ARC BASIN		46.544203	-48.4981	5157338	691823	46.544203	-48.4981	5157556	691817	22
HEBRON L-93 44	JEANNE D'ARC BASIN		46.544078	-48.498025	5157324	691829	46.544078	-48.498025	5157542	691823	22
HEBRON L-93 4Y	JEANNE D'ARC BASIN		46.544061	-48.498083	5157322	691824	46.544061	-48.498083	5157540	691818	22
HEBRON L-93 4Z	JEANNE D'ARC BASIN		46.544061	-48.498083	5157322	691824	46.544061	-48.498083	5157540	691818	22
HEBRON L-93 5	JEANNE D'ARC BASIN		46.544181	-48.498086	5157335	691824	46.544181	-48.498086	5157554	691818	22
HEBRON L-93 6	JEANNE D'ARC BASIN		46.544097	-48.498036	5157326	691828	46.544097	-48.498036	5157544	691822	22
HEBRON L-93 7	JEANNE D'ARC BASIN		46.544081	-48.498097	5157324	691823	46.544081	-48.498097	5157543	691817	22
HEBRON L-93 8	JEANNE D'ARC BASIN		46.544036	-48.498	5157320	691831	46.544036	-48.498	5157538	691825	22
HEBRON L-93 9	JEANNE D'ARC BASIN		46.544094	-48.498139	5157326	691820	46.544094	-48.498139	5157544	691814	22
HEBRON M-04	JEANNE D'ARC BASIN		46.562784	-48.5246	5159338	689726	46.562694	-48.523519	5159549	689803	22
HECLA I-69	SVERDRUP BASIN		76.310167	-110.387559	8469731	516180	76.31091	-110.389927	8469962	516116	22
HECLA J-60	SVERDRUP BASIN		76.327194	-110.330304	8471647	517671	76.327937	-110.332672	8471878	517607	22
HEKJA O-71	SAGLEK BASIN		62.18105	-62.97966	6894148	501059	62.181228	-62.978328	6894370	501128	20
HELICOPTER J-12	SVERDRUP BASIN		78.692556	-100.613613	8736012	464683	78.693581	-100.616058	8736265	464634	20
HELLEFISK-1	SISIMIUT BASIN		67.877944	-56.739161	7529096	510962	67.878262	-56.737172	7529315	511045	21
HERCULES G-15	SCOTIAN BASIN	ORPHEUS GRABEN	45.5724	-58.78696	5047875	360566	45.572442	-58.786192	5048096	360630	21
HERJOLF M-92	HOPEDALE BASIN		55.53147	-57.747925	6153975	452790	55.531536	-57.746894	6154196	452856	21
HERMINE E-94	SCOTIAN BASIN	BURIN PLATFORM	45.39147	-54.49853	5029266	695812	45.391464	-54.497592	5029485	695880	21
HERON H-73	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.04074	-52.42794	4877173	385591	44.040761	-52.426828	4877390	385683	22
HERON J-72	SCOTIAN BASIN	SOUTH WHALE SUBBASIN	44.02604	-52.43573	4875551	384938	44.026064	-52.434614	4875768	385031	22
HESPER I-52	SCOTIAN BASIN	ABENAKI SUBBASIN	44.69453	-57.87562	4949173	430620	44.694581	-57.874808	4949395	430686	21
HESPER P-52	SCOTIAN BASIN	ABENAKI SUBBASIN	44.69749	-57.87992	4949506	430283	44.697531	-57.879108	4949727	430349	21
HIBERNIA B-08	JEANNE D'ARC BASIN		46.7851	-48.7583	5183505	671111	46.785011	-48.757219	5183716	671189	22
HIBERNIA B-16 1	JEANNE D'ARC BASIN		46.750435	-48.782624	5179601	669363	46.750349	-48.781547	5179812	669441	22
HIBERNIA B-16 10	JEANNE D'ARC BASIN		46.750349	-48.781455	5179594	669453	46.750349	-48.781455	5179812	669448	22
HIBERNIA B-16 10X	JEANNE D'ARC BASIN		46.750349	-48.781455	5179594	669453	46.750349	-48.781455	5179812	669448	22
HIBERNIA B-16 10Y	JEANNE D'ARC BASIN		46.750438	-48.782533	5179601	669370	46.750349	-48.781455	5179812	669448	22
HIBERNIA B-16 10Z	JEANNE D'ARC BASIN		46.750438	-48.782533	5179601	669370	46.750349	-48.781455	5179812	669448	22
HIBERNIA B-16 11	JEANNE D'ARC BASIN		46.750683	-48.782844	5179628	669346	46.750594	-48.781767	5179839	669423	22
HIBERNIA B-16 11Z	JEANNE D'ARC BASIN		46.750683	-48.782844	5179628	669346	46.750594	-48.781767	5179839	669423	22
HIBERNIA B-16 12	JEANNE D'ARC BASIN		46.750547	-48.781744	5179615	669430	46.750547	-48.781744	5179833	669425	22
HIBERNIA B-16 13	JEANNE D'ARC BASIN		46.750713	-48.782891	5179631	669342	46.750625	-48.781814	5179842	669419	22
HIBERNIA B-16 13Z	JEANNE D'ARC BASIN		46.750713	-48.782891	5179631	669342	46.750625	-48.781814	5179842	669419	22
HIBERNIA B-16 14	JEANNE D'ARC BASIN		46.750349	-48.781501	5179594	669449	46.750349	-48.781501	5179812	669444	22
HIBERNIA B-16 14V	JEANNE D'ARC BASIN		46.75035	-48.7815	5179594	669449	46.75035	-48.7815	5179812	669444	22
HIBERNIA B-16 14W	JEANNE D'ARC BASIN		46.750349	-48.781501	5179594	669449	46.750349	-48.781501	5179812	669444	22
HIBERNIA B-16 14X	JEANNE D'ARC BASIN		46.750349	-48.781501	5179594	669449	46.750349	-48.781501	5179812	669444	22
HIBERNIA B-16 14Y	JEANNE D'ARC BASIN		46.750349	-48.781501	5179594	669449	46.750349	-48.781501	5179812	669444	22
HIBERNIA B-16 14Z	JEANNE D'ARC BASIN		46.750349	-48.781501	5179594	669449	46.750349	-48.781501	5179812	669444	22
HIBERNIA B-16 15	JEANNE D'ARC BASIN		46.750564	-48.781767	5179617	669428	46.750564	-48.781767	5179835	669423	22
HIBERNIA B-16 15Y	JEANNE D'ARC BASIN		46.750563	-48.781767	5179617	669428	46.750563	-48.781767	5179835	669423	22
HIBERNIA B-16 15Z	JEANNE D'ARC BASIN		46.750563	-48.781767	5179617	669428	46.750563	-48.781767	5179835	669423	22
HIBERNIA B-16 16	JEANNE D'ARC BASIN		46.750546	-48.781837	5179615	669423	46.750546	-48.781837	5179833	669418	22
HIBERNIA B-16 16W	JEANNE D'ARC BASIN		46.750547	-48.781836	5179615	669423	46.750547	-48.781836	5179833	669418	22
HIBERNIA B-16 16X	JEANNE D'ARC BASIN		46.750547	-48.781836	5179615	669423	46.750547	-48.781836	5179833	669418	22
HIBERNIA B-16 16Y	JEANNE D'ARC BASIN		46.750547	-48.781836	5179615	669423	46.750547	-48.781836	5179833	669418	22
HIBERNIA B-16 16Z	JEANNE D'ARC BASIN		46.750635	-48.782913	5179622	669341	46.750547	-48.781836	5179833	669418	22
HIBERNIA B-16 17	JEANNE D'ARC BASIN		46.750396	-48.781617	5179599	669440	46.750396	-48.781617	5179817	669435	22
HIBERNIA B-16 17Z	JEANNE D'ARC BASIN		46.750396	-48.781617	5179599	669440	46.750396	-48.781617	5179817	669435	22
HIBERNIA B-16 18	JEANNE D'ARC BASIN		46.750333	-48.781478	5179592	669451	46.750333	-48.781478	5179810	669446	22
HIBERNIA B-16 19	JEANNE D'ARC BASIN		46.750514	-48.781883	5179611	669420	46.750514	-48.781883	5179829	669414	22
HIBERNIA B-16 19Z	JEANNE D'ARC BASIN		46.750514	-48.781883	5179611	669420	46.750514	-48.781883	5179829	669414	22
HIBERNIA B-16 2	JEANNE D'ARC BASIN		46.750666	-48.782866	5179626	669344	46.750578	-48.78179	5179837	669421	22
HIBERNIA B-16 20	JEANNE D'ARC BASIN		46.750531	-48.781813	5179613	669425	46.750531	-48.781813	5179831	669420	22
